idVoo, CodCliente, TipoVoo, CompanhiaVoo, DataVoo, CidadeOrigem
705,1,Normal,Gol,22/01/2014,Belo Horizonte
997,1,Promocional,Gol,27/01/2014,Fortaleza
656,1,Promocional,Gol,08/03/2014,Floripa
149,1,Normal,Gol,05/04/2014,Salvador
161,1,Promocional,Azul,26/07/2014,Floripa
637,1,Promocional,Azul,15/08/2014,Porto Alegre
48,1,Promocional,Azul,23/08/2014,Fortaleza
971,1,Promocional,Azul,24/01/2015,Bonito
657,1,Normal,Gol,22/02/2015,Rio
32,1,Normal,Azul,12/03/2015,Porto Alegre
344,1,Normal,Gol,10/10/2015,Curitiba
407,1,Normal,Azul,14/10/2015,Sao Paulo
769,1,Promocional,Gol,24/11/2015,Vila Velha
724,2,Normal,Tam,10/04/2014,Vila Velha
996,2,Normal,Gol,16/06/2014,Sao Paulo
91,2,Promocional,Tam,18/09/2014,Porto Alegre
340,2,Promocional,Azul,01/12/2014,Bonito
662,2,Promocional,Azul,24/04/2015,Vila Velha
165,2,Normal,Gol,19/05/2015,Manaus
501,2,Promocional,Gol,22/07/2015,Manaus
269,2,Promocional,Gol,29/11/2015,Belo Horizonte
179,2,Normal,Gol,31/12/2015,Manaus
806,3,Promocional,Tam,16/02/2014,Belo Horizonte
702,3,Normal,Tam,10/04/2014,Vila Velha
382,3,Normal,Azul,05/05/2014,Floripa
584,3,Promocional,Tam,19/06/2014,Salvador
486,3,Normal,Gol,20/06/2014,Bonito
972,3,Normal,Gol,12/09/2014,Floripa
415,3,Promocional,Tam,16/09/2014,Manaus
587,3,Normal,Tam,08/11/2014,Manaus
278,3,Normal,Tam,13/01/2015,Rio
692,3,Normal,Gol,22/01/2015,Curitiba
995,3,Promocional,Gol,03/02/2015,Vila Velha
894,3,Promocional,Azul,16/04/2015,Bonito
538,3,Promocional,Tam,19/04/2015,Bonito
630,3,Promocional,Azul,16/05/2015,Curitiba
502,3,Normal,Tam,07/06/2015,Salvador
219,3,Promocional,Gol,03/08/2015,Rio
960,3,Normal,Gol,24/10/2015,Manaus
845,3,Normal,Gol,21/12/2015,Floripa
295,4,Normal,Gol,20/02/2014,Rio
933,4,Normal,Tam,28/02/2014,Bonito
373,4,Promocional,Tam,09/03/2014,Belo Horizonte
562,4,Normal,Gol,08/04/2014,Rio
927,4,Normal,Tam,14/04/2014,Belo Horizonte
852,4,Normal,Gol,25/04/2014,Porto Alegre
418,4,Normal,Gol,07/05/2014,Fortaleza
45,4,Promocional,Azul,02/06/2014,Sao Paulo
696,4,Promocional,Gol,05/06/2014,Rio
799,4,Promocional,Azul,06/06/2014,Bonito
504,4,Promocional,Gol,25/03/2015,Fortaleza
